LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
892,2155,143796,Primary,23,23,3,21.7,20.3,3,20.2,"£38,386"
892,2157,122480,Primary,18,19,5,14.5,15.6,4.5,23.5,"£43,761"
892,2158,122481,Primary,19,20,6,17.1,17.9,4.4,21.9,"£38,713"
892,2163,122486,Primary,26,19,3,20.8,16,2.7,21.4,"£40,227"
892,2170,122493,Primary,35,21,3,24.2,16,2.2,17.8,"£38,755"
892,2183,140231,Primary,22,30,6,21.1,29.2,5.5,21.6,"£35,086"
892,2190,144686,Primary,15,13,3,12.2,8.5,2.5,16.9,"£35,137"
892,2360,122561,Primary,18,20,4,16.4,17.5,3.2,19.2,"£36,424"
892,2894,122702,Primary,28,18,7,24.8,14.9,4.5,16.9,"£35,173"
892,2897,122703,Primary,12,12,4,12,11.8,4,16.4,"£35,132"
892,2898,137443,Primary,9,8,6,9,8,3.2,25.7,"£33,207"
892,2906,138741,Primary,22,24,7,19.4,19.1,4.3,22.2,"£37,393"
892,2907,140239,Primary,23,16,3,21.7,14.3,3,16.4,"£28,206"
892,2929,122733,Primary,35,27,9,30.6,25.2,7.4,20.1,"£38,333"
892,2935,144842,Primary,21,27,7,18.3,18.2,5,23.7,"£33,380"
892,2939,137550,Primary,18,14,4,17.1,12.2,3.6,21.1,"£39,343"
892,3000,143015,Primary,16,14,3,14.8,11.8,3,19.8,"£32,753"
892,3311,139217,Primary,14,10,4,11.7,8.7,3.6,19.5,"£36,767"
892,3312,144548,Primary,21,10,5,17,8.3,3.8,21.6,"£33,804"
892,3313,138339,Primary,16,12,1,11.2,8.7,0.7,21,"£37,251"
892,3316,139490,Primary,12,14,4,11.6,9.7,2.7,19.6,"£31,433"
892,3317,138340,Primary,19,11,7,18,9.6,5.8,23.3,"£35,055"
892,3318,138338,Primary,12,13,5,10.8,10.2,3.6,21.7,"£35,233"
892,3319,137425,Primary,14,13,3,10.1,11.3,2.5,23.3,"£39,032"
892,3320,137439,Primary,10,10,3,9,8.9,3,26.3,"£34,018"
892,3321,138814,Primary,12,13,1,9.7,8.9,1,22.9,"£37,029"
892,3323,134841,Primary,22,34,4,19.4,24.4,3.9,22.2,"£38,262"
892,3324,134842,Primary,11,21,4,10.2,12.6,3.1,22.8,"£42,538"
892,3326,131005,Primary,27,22,8,24.6,18.2,7.8,18.4,"£36,397"
892,3327,131006,Primary,16,17,3,13.7,15.2,2.9,21.9,"£35,819"
892,3328,131017,Primary,12,16,2,10.7,10.7,2,20.2,"£38,937"
892,3329,131007,Primary,28,22,6,23.7,16.4,4.2,19.7,"£36,281"
892,3330,137786,Primary,20,25,4,19.8,24.5,3.5,21.8,"£34,943"
892,3331,137526,Primary,16,11,2,14.1,10.2,2,15.8,"£36,502"
892,3332,136232,Primary,25,18,5,20.2,15.6,4.2,19.8,"£37,916"
892,4000,137184,Secondary,67,17,14,61,14.8,11.4,12.4,"£39,231"
892,4003,140369,Secondary,42,34,17,40.6,32.6,16.8,19.6,"£37,970"
892,4004,140984,Secondary,36,3,9,34,3,8.2,16.1,"£38,992"
892,4006,141363,Secondary,48,10,16,45.2,9.8,16,15.2,"£37,681"
892,4008,144487,Secondary,51,12,16,50,10.2,14.6,15.9,"£35,316"
892,4009,145146,Secondary,57,19,16,50.9,18.4,13,15,"£36,556"
892,4010,145952,Secondary,57,32,27,56.4,30.3,25.1,16.9,"£37,270"
892,4011,146539,Secondary,91,34,37,87.5,31.2,34.3,15.1,"£36,819"
892,4012,146564,Secondary,48,13,21,43.4,12.5,19.6,15.6,"£39,574"
892,4020,141010,Secondary,37,4,9,34.5,3.9,8.1,13.8,"£36,529"
892,4064,136724,Secondary,77,10,23,68.1,9.2,18.2,15.1,"£37,913"
892,4462,139765,Secondary,72,18,22,69.1,16.1,22,15,"£37,323"
892,4615,137798,Secondary,125,54,62,113.4,51,59,13.3,"£38,281"
892,5404,138341,Secondary,89,7,18,80.3,5.5,14.9,14.2,"£40,311"
892,6905,134253,Secondary,44,4,15,44,3.8,14.1,16,"£36,599"
892,6906,135761,Secondary,53,19,21,50.7,18.3,19.9,16,"£34,648"
892,6907,135881,All through,182,82,49,170.1,72.5,45.5,17.1,"£41,395"
893,2000,138268,Primary,7,8,4,0.3,4.6,2,SUPP,SUPP
893,2001,139933,Primary,15,19,8,13.1,11,4.2,19.3,"£36,092"
893,2003,141180,Primary,3,3,2,2.4,2.6,0.7,19.6,SUPP
893,2005,141340,Primary,9,11,3,7.7,6.5,2.1,18.5,"£37,580"
893,2006,141368,Primary,10,14,2,10,11.3,2,21.5,"£38,032"
893,2007,142575,Primary,4,5,1,3.5,4,1,15.9,"£32,856"
893,2008,143548,Primary,6,8,3,4.8,5,1.6,20.1,"£37,398"
893,2009,144983,Primary,4,3,1,3.5,1.7,0.9,16.3,"£30,380"
893,2010,145300,Primary,3,3,1,2.6,2.2,0.9,18.8,"£36,808"
